Meal Choice,Meal Cost,Tourist_Country,Cities,is_canceled,lead_time,arrival_date_year,arrival_date_month,Quarters ,stays_in_weekend_nights,stays_in_week_nights,Total_Stay_Days,Adults,Children,Market_segment,Distribution_channel,Room Class,Room Cost ,Total Room Cost ,Deposit_type,days_in_waiting_list,customer_type,Reservation_status,Overall Cost,
Self Catering,200, China  , Chandigarh,0,342,2022,July,1,0,0,0,2,0,Direct,Direct,D,700,0,No Deposit ,4,Transient,No-Show,200,Cities
Bed & Breakfast,100, Nepal  , Mumbai,0,737,2022,April,1,0,0,0,2,0,Direct,Direct,A,1000,0,No Deposit ,4,Transient,Check-Out,100, Chandigarh
Self Catering,200, Iran  , Delhi,0,7,2022,September,0,0,1,1,1,0,Direct,Direct,D,700,700,Refundable,2,Transient,No-Show,900, Mumbai
Half Meal,150, Iran  , Kolkata,0,13,2023,August,0,0,1,1,1,0,Corporate,Corporate,F,500,500,Non Refundable,4,Transient,Canceled,650, Delhi
Bed & Breakfast,100, Italy  , Lucknow,0,14,2020,September,0,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Advance,2,Transient,No-Show,2100, Kolkata
Full Meal,300, Norway  , Delhi,0,14,2022,October,1,0,2,2,2,0,Online TA,TA/TO,F,500,1000,Refundable,2,Transient,Check-Out,1300, Lucknow
Self Catering,200, Iran  , Indore,0,0,2025,January,0,0,2,2,2,0,Direct,Direct,F,500,1000,Refundable,3,Transient,Canceled,1200, Indore
Bed & Breakfast,100, Iran  , Ahmedabad,0,9,2020,August,0,0,2,2,2,0,Direct,Direct,D,700,1400,Non Refundable,1,Transient,Canceled,1500, Ahmedabad
Self Catering,200, Norway  , Delhi,1,85,2021,August,1,0,3,3,2,0,Online TA,TA/TO,B,900,2700,Advance,3,Transient,No-Show,2900, Pune
Self Catering,200, Italy  , Pune,1,75,2020,December,1,0,3,3,2,0,Offline TA/TO,TA/TO,D,700,2100,No Deposit ,1,Transient,Check-Out,2300, Chennai
No Meal,0, Italy  , Chennai,1,23,2025,August,1,0,4,4,2,0,Online TA,TA/TO,E,600,2400,Advance,2,Transient,No-Show,2400, Bhopal
Self Catering,200, Iran  , Chennai,0,35,2025,March,1,0,4,4,2,0,Online TA,TA/TO,E,600,2400,No Deposit ,1,Transient,Check-Out,2600, Hyderabad
Self Catering,200, Nepal  , Bhopal,0,68,2024,March,0,0,4,4,2,0,Online TA,TA/TO,E,600,2400,Non Refundable,3,Transient,No-Show,2600, Kochi
Full Meal,300,USA  , Lucknow,0,18,2025,June,0,0,4,4,2,1,Online TA,TA/TO,F,500,2000,Advance,1,Transient,Check-Out,2300, Bangalore
Full Meal,300, Iran  , Hyderabad,0,37,2021,June,1,0,4,4,2,0,Online TA,TA/TO,D,700,2800,Advance,2,Transient,Canceled,3100, Jaipur
Full Meal,300, Iran  , Mumbai,0,68,2025,June,1,0,4,4,2,0,Online TA,TA/TO,E,600,2400,Advance,1,Transient,No-Show,2700, Goa
No Meal,0, Iran  , Kochi,0,37,2022,January,1,0,4,4,2,0,Offline TA/TO,TA/TO,F,500,2000,Non Refundable,3,Contract,Check-Out,2000,0
Full Meal,300, Italy  , Chennai,0,12,2021,December,1,0,1,1,2,0,Online TA,TA/TO,C,800,800,No Deposit ,4,Transient,Canceled,1100,
Full Meal,300,Europe, Mumbai,0,0,2024,April,1,0,1,1,2,0,Corporate,Corporate,C,800,800,Advance,4,Transient,Check-Out,1100,
No Meal,0, Iran  , Delhi,0,7,2024,November,0,0,4,4,2,0,Direct,Direct,E,600,2400,No Deposit ,3,Transient,No-Show,2400,
Full Meal,300, Iran  , Pune,0,37,2021,November,1,1,4,5,1,0,Online TA,TA/TO,E,600,3000,Refundable,1,Transient,Check-Out,3300,
Half Meal,150, Italy  , Bangalore,0,72,2023,January,0,2,4,6,2,0,Direct,Direct,C,800,4800,Advance,4,Transient,No-Show,4950,
Bed & Breakfast,100, Italy  , Bhopal,0,72,2025,July,0,2,4,6,2,0,Direct,Direct,C,800,4800,No Deposit ,4,Transient,Canceled,4900,
Full Meal,300, Portugal  , Chennai,0,72,2023,March,1,2,4,6,2,0,Direct,Direct,B,900,5400,Non Refundable,1,Transient,Canceled,5700,
Bed & Breakfast,100, Iran  , Ahmedabad,0,127,2021,February,1,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,Advance,3,Contract,Canceled,5700,
Bed & Breakfast,100,USA  , Pune,0,78,2023,July,1,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,Refundable,2,Transient,Check-Out,6400,
Bed & Breakfast,100, Iran  , Pune,0,48,2021,December,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Non Refundable,2,Contract,No-Show,3600,
Half Meal,150, Italy  , Chennai,1,60,2022,November,0,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Refundable,3,Transient,Canceled,5050,
Self Catering,200, Portugal  , Kochi,0,77,2022,October,1,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Non Refundable,2,Transient,No-Show,4400,
